Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_23 : 24215: 258.778: 24215: 256.972: 19343: 280.805: 19343: 217.003: 18144: 435.397
GT1-12-2_S275_L001_Q_23 : 5765: 260.89: 5765: 260.993: 4706: 286.445: 4706: 213.036: 4236: 443.058
GT0-2-1_S31_L001_Q_23 : 61572: 240.745: 61572: 241.18: 46488: 275.634: 46488: 215.642: 44346: 418.812
GT1-12-3_S283_L001_Q_23 : 21783: 252.656: 21783: 253.692: 17193: 290.313: 17193: 213.005: 15520: 428.776
GT0-22-1_S224_L001_Q_23 : 38159: 236.204: 38159: 237.976: 27817: 277.587: 27817: 215.005: 26456: 410.84
GT1-1-2_S201_L001_Q_23 : 56548: 237.957: 56548: 238.957: 42530: 272.41: 42530: 214.363: 40500: 413.035
GT0-22-2_S232_L001_Q_23 : 29503: 242.036: 29503: 243.228: 22120: 272.938: 22120: 212.314: 20716: 419.357
WT1-18_S140_L001_Q_23 : 44429: 191.501: 44429: 191.783: 24328: 280.317: 24328: 240.586: 22335: 433.035
GT1-13-1_S196_L001_Q_23 : 11578: 255.095: 11578: 256.777: 9306: 290.961: 9306: 211.632: 8379: 446.806
GT0-22-3_S240_L001_Q_23 : 49832: 247.917: 49832: 249.316: 38680: 275.486: 38680: 213.556: 36628: 406.483
WT1-19_S148_L001_Q_23 : 20834: 289.933: 20834: 290.155: 19590: 288.184: 19590: 244.942: 18663: 448.219
MT3-6-3_S240_L001_Q_23 : 30356: 283.745: 30356: 283.524: 27801: 289.942: 27801: 236.401: 26702: 446.664
GT1-13-2_S204_L001_Q_23 : 26654: 209.971: 26654: 212.86: 16790: 284.959: 16790: 212.413: 15519: 432.329
GT0-2-2_S39_L001_Q_23 : 30827: 236.296: 30827: 237.489: 22524: 275.764: 22524: 212.648: 21348: 419.397
WT1-1_S99_L001_Q_23 : 17050: 285.346: 17050: 285.498: 15669: 281.601: 15669: 245.301: 15226: 440.699
MT3-7-1_S248_L001_Q_23 : 22560: 266.395: 22560: 266.552: 19123: 290.098: 19123: 236.363: 18372: 446.447
GT1-13-3_S212_L001_Q_23 : 21921: 279.078: 21921: 280.088: 19534: 291.943: 19534: 212.407: 17375: 451.281
GT0-23-1_S248_L001_Q_23 : 64290: 226.073: 64290: 227.594: 44421: 275.143: 44421: 213.237: 41825: 413.582
WT1-20_S156_L001_Q_23 : 26053: 297.686: 26053: 298.115: 25231: 281.441: 25231: 241.428: 24105: 435.397
MT3-7-2_S256_L001_Q_23 : 27696: 250.012: 27696: 249.75: 21680: 289.488: 21680: 235.783: 20862: 445.362
GT1-1-3_S209_L001_Q_23 : 18728: 227.407: 18728: 234.404: 14353: 245.747: 14353: 192.6: 13293: 338.856
GT0-23-2_S256_L001_Q_23 : 55826: 239.12: 55826: 239.938: 41511: 275.559: 41511: 212.617: 39405: 419.384
WT1-21_S124_L001_Q_23 : 60009: 247.041: 60009: 247.52: 45299: 276.669: 45299: 233.957: 41446: 440.019
MT3-7-3_S264_L001_Q_23 : 22009: 258.092: 22009: 258.297: 17990: 289.403: 17990: 235.274: 17338: 444.749
GT1-14-1_S220_L001_Q_23 : 22202: 250.833: 22202: 252.295: 17353: 292.407: 17353: 212.529: 15519: 449.986
GT0-23-3_S264_L001_Q_23 : 35517: 249.472: 35517: 250.289: 27842: 275.354: 27842: 212.217: 26536: 418.696
WT1-22_S172_L001_Q_23 : 22581: 296.379: 22581: 296.835: 21781: 281.392: 21781: 238.498: 20346: 433.583
MT3-8-1_S272_L001_Q_23 : 33306: 271.033: 33306: 271.201: 28936: 289.891: 28936: 236.398: 27783: 446.02
GT1-14-2_S228_L001_Q_23 : 11088: 272.037: 11088: 261.643: 9062: 291.449: 9062: 213.03: 8124: 447.016
GT0-2-3_S47_L001_Q_23 : 31891: 213.958: 31891: 215.309: 20504: 281.124: 20504: 216.171: 19065: 410.304
WT1-23_S180_L001_Q_23 : 20520: 289.236: 20520: 289.896: 19258: 280.643: 19258: 239.643: 18343: 434.012
MT3-8-3_S288_L001_Q_23 : 28060: 261.364: 28060: 261.787: 23184: 290.628: 23184: 233.559: 22234: 446.27
GT0-24-1_S272_L001_Q_23 : 45670: 248.956: 45670: 249.588: 35760: 277.108: 35760: 213.617: 33995: 423.878
