Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_33 : 24215: 258.778: 24215: 256.972: 15117: 246.316: 15117: 174.007: 10688: 399.661
GT1-12-2_S275_L001_Q_33 : 5765: 260.89: 5765: 260.993: 3529: 260.035: 3529: 169.851: 1969: 406.607
GT0-2-1_S31_L001_Q_33 : 61572: 240.745: 61572: 241.18: 36894: 241.864: 36894: 173.474: 29019: 385.34
GT1-12-3_S283_L001_Q_33 : 21783: 252.656: 21783: 253.692: 12614: 271.283: 12614: 170.688: 7154: 393.233
GT0-22-1_S224_L001_Q_33 : 38159: 236.204: 38159: 237.976: 21900: 242.757: 21900: 171.638: 17272: 376.368
GT1-1-2_S201_L001_Q_33 : 56548: 237.957: 56548: 238.957: 33180: 241.707: 33180: 174.184: 25949: 381.058
GT0-22-2_S232_L001_Q_33 : 29503: 242.036: 29503: 243.228: 17063: 237.308: 17063: 169.701: 12488: 382.869
WT1-18_S140_L001_Q_33 : 44429: 191.501: 44429: 191.783: 19589: 251.031: 19589: 198.757: 14022: 419.921
GT1-13-1_S196_L001_Q_33 : 11578: 255.095: 11578: 256.777: 6805: 270.027: 6805: 169.527: 3509: 411.562
GT0-22-3_S240_L001_Q_33 : 49832: 247.917: 49832: 249.316: 30049: 240.969: 30049: 170.896: 23262: 370.978
WT1-19_S148_L001_Q_33 : 20834: 289.933: 20834: 290.155: 15692: 264.511: 15692: 198.673: 11428: 435.023
MT3-6-3_S240_L001_Q_33 : 30356: 283.745: 30356: 283.524: 22475: 269.279: 22475: 195.669: 18574: 429.883
GT1-13-2_S204_L001_Q_33 : 26654: 209.971: 26654: 212.86: 13590: 259.4: 13590: 174.543: 9986: 395.935
GT0-2-2_S39_L001_Q_33 : 30827: 236.296: 30827: 237.489: 17413: 242.481: 17413: 170.156: 13496: 383.356
WT1-1_S99_L001_Q_33 : 17050: 285.346: 17050: 285.498: 12361: 255.112: 12361: 198.683: 10325: 423.366
