Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_30 : 24215: 258.778: 24215: 256.972: 17223: 259.628: 17223: 187.685: 1421: 384.764
GT1-12-2_S275_L001_Q_30 : 5765: 260.89: 5765: 260.993: 4113: 271.129: 4113: 184.202: 151: 368.974
GT0-2-1_S31_L001_Q_30 : 61572: 240.745: 61572: 241.18: 41714: 254.835: 41714: 186.989: 5827: 313.052
GT1-12-3_S283_L001_Q_30 : 21783: 252.656: 21783: 253.692: 14958: 279.451: 14958: 184.297: 1766: 299.69
GT0-22-1_S224_L001_Q_30 : 38159: 236.204: 38159: 237.976: 24808: 256.586: 24808: 185.607: 4645: 312.208
GT1-1-2_S201_L001_Q_30 : 56548: 237.957: 56548: 238.957: 37633: 253.872: 37633: 187.096: 5854: 300.815
GT0-22-2_S232_L001_Q_30 : 29503: 242.036: 29503: 243.228: 19469: 251.056: 19469: 183.402: 2100: 338.309
WT1-18_S140_L001_Q_30 : 44429: 191.501: 44429: 191.783: 21965: 262.327: 21965: 212.662: 10227: 435.704
GT1-13-1_S196_L001_Q_30 : 11578: 255.095: 11578: 256.777: 8134: 279.629: 8134: 183.713: 165: 262.861
GT0-22-3_S240_L001_Q_30 : 49832: 247.917: 49832: 249.316: 34319: 254.001: 34319: 184.445: 6640: 304.927
WT1-19_S148_L001_Q_30 : 20834: 289.933: 20834: 290.155: 17722: 274.087: 17722: 213.36: 6150: 450.942
MT3-6-3_S240_L001_Q_30 : 30356: 283.745: 30356: 283.524: 25273: 277.47: 25273: 208.45: 6640: 449.814
GT1-13-2_S204_L001_Q_30 : 26654: 209.971: 26654: 212.86: 15208: 270.362: 15208: 187.192: 1193: 306.618
GT0-2-2_S39_L001_Q_30 : 30827: 236.296: 30827: 237.489: 19945: 255.121: 19945: 183.501: 2409: 312.306
WT1-1_S99_L001_Q_30 : 17050: 285.346: 17050: 285.498: 14027: 264.809: 14027: 213.789: 5169: 447.293
MT3-7-1_S248_L001_Q_30 : 22560: 266.395: 22560: 266.552: 17448: 277.232: 17448: 208.896: 4613: 448.269
GT1-13-3_S212_L001_Q_30 : 21921: 279.078: 21921: 280.088: 17140: 279.16: 17140: 182.989: 145: 442.434
GT0-23-1_S248_L001_Q_30 : 64290: 226.073: 64290: 227.594: 39564: 253.103: 39564: 183.737: 5931: 312.298
WT1-20_S156_L001_Q_30 : 26053: 297.686: 26053: 298.115: 22832: 263.156: 22832: 210.654: 9215: 440.195
MT3-7-2_S256_L001_Q_30 : 27696: 250.012: 27696: 249.75: 19689: 277.655: 19689: 208.657: 5241: 445.267
GT1-1-3_S209_L001_Q_30 : 18728: 227.407: 18728: 234.404: 11886: 239.863: 11886: 174.487: 4242: 190.364
GT0-23-2_S256_L001_Q_30 : 55826: 239.12: 55826: 239.938: 36746: 255.403: 36746: 183.762: 4511: 305.746
WT1-21_S124_L001_Q_30 : 60009: 247.041: 60009: 247.52: 37799: 255.663: 37799: 199.805: 5830: 447.337
MT3-7-3_S264_L001_Q_30 : 22009: 258.092: 22009: 258.297: 16316: 277.946: 16316: 208.26: 4310: 443.552
GT1-14-1_S220_L001_Q_30 : 22202: 250.833: 22202: 252.295: 15198: 279.77: 15198: 183.659: 262: 363.508
GT0-23-3_S264_L001_Q_30 : 35517: 249.472: 35517: 250.289: 24561: 256.043: 24561: 183.759: 3075: 303.558
WT1-22_S172_L001_Q_30 : 22581: 296.379: 22581: 296.835: 19552: 263.833: 19552: 209.715: 8396: 437.753
MT3-8-1_S272_L001_Q_30 : 33306: 271.033: 33306: 271.201: 26343: 277.667: 26343: 209.166: 7119: 447.88
GT1-14-2_S228_L001_Q_30 : 11088: 272.037: 11088: 261.643: 7846: 279.217: 7846: 184.324: 226: 330.593
GT0-2-3_S47_L001_Q_30 : 31891: 213.958: 31891: 215.309: 18150: 263.977: 18150: 187.439: 3676: 306.3
WT1-23_S180_L001_Q_30 : 20520: 289.236: 20520: 289.896: 17299: 262.463: 17299: 209.428: 6755: 438.424
MT3-8-3_S288_L001_Q_30 : 28060: 261.364: 28060: 261.787: 21106: 278.844: 21106: 206.169: 4864: 447.346
GT0-24-1_S272_L001_Q_30 : 45670: 248.956: 45670: 249.588: 31739: 257.144: 31739: 184.835: 3438: 315.216
WT1-24_S188_L001_Q_30 : 21552: 286.262: 21552: 286.741: 17899: 262.596: 17899: 208.563: 6985: 438.268
MT3-9-2_S303_L001_Q_30 : 55061: 118.132: 55061: 117.864: 13408: 272.65: 13408: 206.162: 3831: 404.495
WT1-2_S107_L001_Q_30 : 23420: 294.849: 23420: 295.662: 20189: 262.874: 20189: 212.12: 9309: 436.485
MT3-9-3_S311_L001_Q_30 : 27690: 260.434: 27690: 260.335: 20803: 277.458: 20803: 207.967: 5355: 443.422
