GT0-10-1_S127_L001.singles.fastq:1031
GT0-10-2_S135_L001.singles.fastq:1097
GT0-10-3_S143_L001.singles.fastq:1103
GT0-11-1_S151_L001.singles.fastq:1260
GT0-11-2_S159_L001.singles.fastq:887
GT0-11-3_S167_L001.singles.fastq:1648
GT0-1-1_S7_L001.singles.fastq:1018
GT0-12-1_S175_L001.singles.fastq:341
GT0-12-2_S183_L001.singles.fastq:1355
GT0-12-3_S191_L001.singles.fastq:1260
GT0-1-2_S15_L001.singles.fastq:1125
GT0-13-1_S104_L001.singles.fastq:1265
GT0-13-2_S112_L001.singles.fastq:696
GT0-13-3_S120_L001.singles.fastq:1473
GT0-1-3_S23_L001.singles.fastq:1491
GT0-14-1_S128_L001.singles.fastq:1482
GT0-14-2_S136_L001.singles.fastq:872
GT0-14-3_S144_L001.singles.fastq:1163
GT0-15-1_S152_L001.singles.fastq:1367
GT0-15-2_S160_L001.singles.fastq:987
GT0-15-3_S168_L001.singles.fastq:2038
GT0-16-1_S176_L001.singles.fastq:2073
GT0-16-2_S184_L001.singles.fastq:2402
GT0-16-3_S192_L001.singles.fastq:575
GT0-17-1_S199_L001.singles.fastq:2033
GT0-17-2_S207_L001.singles.fastq:1888
GT0-17-3_S215_L001.singles.fastq:974
GT0-18-1_S223_L001.singles.fastq:759
GT0-18-2_S231_L001.singles.fastq:889
GT0-18-3_S239_L001.singles.fastq:1532
GT0-19-1_S247_L001.singles.fastq:1487
GT0-19-2_S255_L001.singles.fastq:1523
GT0-19-3_S263_L001.singles.fastq:2206
GT0-20-1_S271_L001.singles.fastq:3
GT0-20-2_S279_L001.singles.fastq:2857
GT0-20-3_S287_L001.singles.fastq:1399
GT0-21-1_S200_L001.singles.fastq:1264
GT0-21-2_S208_L001.singles.fastq:1576
GT0-21-3_S216_L001.singles.fastq:1098
GT0-2-1_S31_L001.singles.fastq:1891
GT0-22-1_S224_L001.singles.fastq:1282
GT0-22-2_S232_L001.singles.fastq:1053
GT0-22-3_S240_L001.singles.fastq:1871
GT0-2-2_S39_L001.singles.fastq:1135
GT0-23-1_S248_L001.singles.fastq:2218
GT0-23-2_S256_L001.singles.fastq:1995
GT0-23-3_S264_L001.singles.fastq:1371
GT0-2-3_S47_L001.singles.fastq:1144
GT0-24-1_S272_L001.singles.fastq:1632
GT0-24-2_S280_L001.singles.fastq:1997
GT0-24-3_S288_L001.singles.fastq:1454
GT0-3-1_S55_L001.singles.fastq:2506
GT0-3-2_S63_L001.singles.fastq:1862
GT0-3-3_S71_L001.singles.fastq:1010
GT0-4-1_S79_L001.singles.fastq:1655
GT0-4-2_S87_L001.singles.fastq:1760
GT0-4-3_S95_L001.singles.fastq:3157
GT0-5-1_S8_L001.singles.fastq:655
GT0-5-2_S16_L001.singles.fastq:1374
GT0-5-3_S24_L001.singles.fastq:901
GT0-6-1_S32_L001.singles.fastq:298
GT0-6-2_S40_L001.singles.fastq:1332
GT0-6-3_S48_L001.singles.fastq:864
GT0-7-1_S56_L001.singles.fastq:2825
GT0-7-2_S64_L001.singles.fastq:3144
GT0-7-3_S72_L001.singles.fastq:2370
GT0-8-1_S80_L001.singles.fastq:4
GT0-8-2_S88_L001.singles.fastq:1966
GT0-8-3_S96_L001.singles.fastq:742
GT0-9-1_S103_L001.singles.fastq:1370
GT0-9-2_S111_L001.singles.fastq:1328
GT0-9-3_S119_L001.singles.fastq:1019
GT1-10-1_S219_L001.singles.fastq:1122
GT1-10-2_S227_L001.singles.fastq:1874
GT1-10-3_S235_L001.singles.fastq:3173
GT1-11-1_S243_L001.singles.fastq:174
GT1-11-2_S251_L001.singles.fastq:1047
GT1-11-3_S259_L001.singles.fastq:246
GT1-1-1_S193_L001.singles.fastq:3323
GT1-12-1_S267_L001.singles.fastq:819
GT1-12-2_S275_L001.singles.fastq:296
GT1-12-3_S283_L001.singles.fastq:1218
GT1-1-2_S201_L001.singles.fastq:2076
GT1-13-1_S196_L001.singles.fastq:634
GT1-13-2_S204_L001.singles.fastq:863
GT1-13-3_S212_L001.singles.fastq:1229
GT1-1-3_S209_L001.singles.fastq:1507
GT1-14-1_S220_L001.singles.fastq:1196
GT1-14-2_S228_L001.singles.fastq:634
GT1-14-3_S236_L001.singles.fastq:172
GT1-15-1_S244_L001.singles.fastq:490
GT1-15-2_S252_L001.singles.fastq:1350
GT1-15-3_S260_L001.singles.fastq:1379
GT1-16-1_S268_L001.singles.fastq:1632
GT1-16-2_S276_L001.singles.fastq:663
GT1-16-3_S284_L001.singles.fastq:2589
GT1-17-1_S197_L001.singles.fastq:1911
GT1-17-2_S205_L001.singles.fastq:1888
GT1-17-3_S213_L001.singles.fastq:1580
GT1-18-1_S221_L001.singles.fastq:3318
GT1-18-2_S229_L001.singles.fastq:1253
GT1-18-3_S237_L001.singles.fastq:265
GT1-19-1_S245_L001.singles.fastq:148
GT1-19-2_S253_L001.singles.fastq:4673
GT1-19-3_S261_L001.singles.fastq:1614
GT1-20-1_S269_L001.singles.fastq:1582
GT1-20-2_S277_L001.singles.fastq:945
GT1-20-3_S285_L001.singles.fastq:448
GT1-21-1_S198_L001.singles.fastq:3879
GT1-21-2_S206_L001.singles.fastq:144
GT1-21-3_S214_L001.singles.fastq:518
GT1-2-1_S217_L001.singles.fastq:2817
GT1-22-1_S222_L001.singles.fastq:2655
GT1-22-2_S230_L001.singles.fastq:2242
GT1-22-3_S238_L001.singles.fastq:928
GT1-2-2_S225_L001.singles.fastq:4162
GT1-23-1_S246_L001.singles.fastq:1154
GT1-23-2_S254_L001.singles.fastq:1881
GT1-23-3_S262_L001.singles.fastq:491
GT1-2-3_S233_L001.singles.fastq:2012
GT1-24-1_S270_L001.singles.fastq:705
GT1-24-2_S278_L001.singles.fastq:3743
GT1-24-3_S286_L001.singles.fastq:520
GT1-3-1_S241_L001.singles.fastq:293
GT1-3-2_S249_L001.singles.fastq:3103
GT1-3-3_S257_L001.singles.fastq:429
GT1-4-1_S265_L001.singles.fastq:549
GT1-4-2_S273_L001.singles.fastq:794
GT1-4-3_S281_L001.singles.fastq:2136
GT1-5-1_S194_L001.singles.fastq:9870
GT1-5-2_S202_L001.singles.fastq:3868
GT1-5-3_S210_L001.singles.fastq:3416
GT1-6-1_S218_L001.singles.fastq:2027
GT1-6-2_S226_L001.singles.fastq:4262
GT1-6-3_S234_L001.singles.fastq:2835
GT1-7-1_S242_L001.singles.fastq:207
GT1-7-2_S250_L001.singles.fastq:3559
GT1-7-3_S258_L001.singles.fastq:576
GT1-8-1_S266_L001.singles.fastq:2960
GT1-8-2_S274_L001.singles.fastq:1577
GT1-8-3_S282_L001.singles.fastq:2082
GT1-9-1_S195_L001.singles.fastq:773
GT1-9-2_S203_L001.singles.fastq:1396
GT1-9-3_S211_L001.singles.fastq:926
GT3-10-1_S123_L001.singles.fastq:825
GT3-10-2_S131_L001.singles.fastq:926
GT3-10-3_S139_L001.singles.fastq:617
GT3-11-1_S147_L001.singles.fastq:3188
GT3-11-2_S155_L001.singles.fastq:1167
GT3-11-3_S163_L001.singles.fastq:1757
GT3-1-1_S97_L001.singles.fastq:409
GT3-12-1_S171_L001.singles.fastq:1304
GT3-12-2_S179_L001.singles.fastq:1298
GT3-12-3_S187_L001.singles.fastq:650
GT3-1-2_S105_L001.singles.fastq:4963
GT3-13-1_S100_L001.singles.fastq:950
GT3-13-2_S108_L001.singles.fastq:467
GT3-13-3_S116_L001.singles.fastq:3594
GT3-1-3_S113_L001.singles.fastq:809
GT3-14-1_S124_L001.singles.fastq:624
GT3-14-2_S132_L001.singles.fastq:1517
GT3-14-3_S140_L001.singles.fastq:596
GT3-15-1_S148_L001.singles.fastq:928
GT3-15-2_S156_L001.singles.fastq:1160
GT3-15-3_S164_L001.singles.fastq:1077
GT3-16-1_S172_L001.singles.fastq:602
GT3-16-2_S180_L001.singles.fastq:406
GT3-16-3_S188_L001.singles.fastq:1255
GT3-17-1_S101_L001.singles.fastq:1506
GT3-17-2_S109_L001.singles.fastq:880
GT3-17-3_S117_L001.singles.fastq:649
GT3-18-1_S125_L001.singles.fastq:2433
GT3-18-2_S133_L001.singles.fastq:775
GT3-18-3_S141_L001.singles.fastq:2043
GT3-19-1_S149_L001.singles.fastq:1232
GT3-19-2_S157_L001.singles.fastq:1507
GT3-19-3_S165_L001.singles.fastq:999
GT3-20-1_S173_L001.singles.fastq:624
GT3-20-2_S181_L001.singles.fastq:590
GT3-20-3_S189_L001.singles.fastq:664
GT3-21-1_S102_L001.singles.fastq:4356
GT3-21-2_S110_L001.singles.fastq:3167
GT3-21-3_S118_L001.singles.fastq:977
GT3-2-1_S121_L001.singles.fastq:1868
GT3-22-1_S126_L001.singles.fastq:423
GT3-22-2_S134_L001.singles.fastq:2358
GT3-22-3_S142_L001.singles.fastq:977
GT3-2-2_S129_L001.singles.fastq:3031
GT3-23-1_S150_L001.singles.fastq:975
GT3-23-2_S158_L001.singles.fastq:821
GT3-23-3_S166_L001.singles.fastq:5520
GT3-2-3_S137_L001.singles.fastq:3064
GT3-24-1_S174_L001.singles.fastq:1028
GT3-24-2_S182_L001.singles.fastq:967
GT3-24-3_S190_L001.singles.fastq:1037
GT3-3-1_S145_L001.singles.fastq:1273
GT3-3-2_S153_L001.singles.fastq:1227
GT3-3-3_S161_L001.singles.fastq:3910
GT3-4-1_S169_L001.singles.fastq:1421
GT3-4-2_S177_L001.singles.fastq:1052
GT3-4-3_S185_L001.singles.fastq:859
GT3-5-1_S98_L001.singles.fastq:1865
GT3-5-2_S106_L001.singles.fastq:1420
GT3-5-3_S114_L001.singles.fastq:993
GT3-6-1_S122_L001.singles.fastq:2875
GT3-6-2_S130_L001.singles.fastq:923
GT3-6-3_S138_L001.singles.fastq:1927
GT3-7-1_S146_L001.singles.fastq:1466
GT3-7-2_S154_L001.singles.fastq:1263
GT3-7-3_S162_L001.singles.fastq:2864
