Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_28 : 24215: 258.778: 24215: 256.972: 18113: 267.027: 18113: 196.369: 6852: 436.999
GT1-12-2_S275_L001_Q_28 : 5765: 260.89: 5765: 260.993: 4360: 276.269: 4360: 192.751: 1520: 445.725
GT0-2-1_S31_L001_Q_28 : 61572: 240.745: 61572: 241.18: 43697: 261.977: 43697: 195.37: 18397: 403.558
GT1-12-3_S283_L001_Q_28 : 21783: 252.656: 21783: 253.692: 15883: 283.288: 15883: 193.167: 6641: 409.863
GT0-22-1_S224_L001_Q_28 : 38159: 236.204: 38159: 237.976: 26039: 263.715: 26039: 194.291: 11267: 387.844
GT1-1-2_S201_L001_Q_28 : 56548: 237.957: 56548: 238.957: 39577: 260.237: 39577: 195.186: 17663: 397.903
GT0-22-2_S232_L001_Q_28 : 29503: 242.036: 29503: 243.228: 20543: 258.178: 20543: 191.898: 7362: 413.645
WT1-18_S140_L001_Q_28 : 44429: 191.501: 44429: 191.783: 22957: 268.101: 22957: 220.907: 15601: 438.122
GT1-13-1_S196_L001_Q_28 : 11578: 255.095: 11578: 256.777: 8644: 283.797: 8644: 192.375: 2985: 445.366
GT0-22-3_S240_L001_Q_28 : 49832: 247.917: 49832: 249.316: 36125: 261.157: 36125: 192.954: 15380: 380.632
WT1-19_S148_L001_Q_28 : 20834: 289.933: 20834: 290.155: 18584: 278.763: 18584: 222.461: 12668: 452.91
MT3-6-3_S240_L001_Q_28 : 30356: 283.745: 30356: 283.524: 26390: 281.412: 26390: 216.415: 17351: 453.096
GT1-13-2_S204_L001_Q_28 : 26654: 209.971: 26654: 212.86: 15839: 275.619: 15839: 194.958: 6612: 426.707
GT0-2-2_S39_L001_Q_28 : 30827: 236.296: 30827: 237.489: 20994: 262.327: 20994: 192.006: 8084: 405.348
WT1-1_S99_L001_Q_28 : 17050: 285.346: 17050: 285.498: 14719: 270.433: 14719: 222.74: 9664: 449.628
MT3-7-1_S248_L001_Q_28 : 22560: 266.395: 22560: 266.552: 18215: 281.157: 18215: 216.649: 12040: 452.348
GT1-13-3_S212_L001_Q_28 : 21921: 279.078: 21921: 280.088: 18236: 283.865: 18236: 192.09: 5824: 456.355
GT0-23-1_S248_L001_Q_28 : 64290: 226.073: 64290: 227.594: 41591: 260.467: 41591: 192.417: 16501: 394.875
WT1-20_S156_L001_Q_28 : 26053: 297.686: 26053: 298.115: 23862: 269.052: 23862: 219.814: 15704: 443.076
MT3-7-2_S256_L001_Q_28 : 27696: 250.012: 27696: 249.75: 20563: 281.498: 20563: 216.32: 13704: 451.315
GT1-1-3_S209_L001_Q_28 : 18728: 227.407: 18728: 234.404: 12761: 242.202: 12761: 180.211: 7506: 288.312
GT0-23-2_S256_L001_Q_28 : 55826: 239.12: 55826: 239.938: 38721: 262.289: 38721: 191.98: 15250: 403.981
WT1-21_S124_L001_Q_28 : 60009: 247.041: 60009: 247.52: 41081: 262.634: 41081: 209.093: 19692: 451.145
MT3-7-3_S264_L001_Q_28 : 22009: 258.092: 22009: 258.297: 17056: 281.405: 17056: 215.835: 11371: 450.553
GT1-14-1_S220_L001_Q_28 : 22202: 250.833: 22202: 252.295: 16136: 284.461: 16136: 192.686: 5314: 451.828
GT0-23-3_S264_L001_Q_28 : 35517: 249.472: 35517: 250.289: 25889: 262.644: 25889: 191.908: 10219: 402.171
WT1-22_S172_L001_Q_28 : 22581: 296.379: 22581: 296.835: 20467: 269.651: 20467: 218.304: 13611: 440.406
MT3-8-1_S272_L001_Q_28 : 33306: 271.033: 33306: 271.201: 27504: 281.738: 27504: 216.861: 18331: 452.241
GT1-14-2_S228_L001_Q_28 : 11088: 272.037: 11088: 261.643: 8385: 283.808: 8385: 192.901: 2936: 445.325
GT0-2-3_S47_L001_Q_28 : 31891: 213.958: 31891: 215.309: 19151: 270.107: 19151: 195.916: 9032: 387.18
WT1-23_S180_L001_Q_28 : 20520: 289.236: 20520: 289.896: 18101: 268.352: 18101: 218.494: 11848: 442.056
MT3-8-3_S288_L001_Q_28 : 28060: 261.364: 28060: 261.787: 22048: 282.719: 22048: 213.912: 14371: 452.43
GT0-24-1_S272_L001_Q_28 : 45670: 248.956: 45670: 249.588: 33374: 263.736: 33374: 193.163: 12760: 411.908
WT1-24_S188_L001_Q_28 : 21552: 286.262: 21552: 286.741: 18715: 268.629: 18715: 217.425: 12232: 441.876
MT3-9-2_S303_L001_Q_28 : 55061: 118.132: 55061: 117.864: 13945: 276.492: 13945: 213.27: 9384: 433.408
WT1-2_S107_L001_Q_28 : 23420: 294.849: 23420: 295.662: 21109: 268.108: 21109: 220.402: 14285: 439.023
MT3-9-3_S311_L001_Q_28 : 27690: 260.434: 27690: 260.335: 21658: 281.433: 21658: 215.694: 14230: 450.436
