Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_33 : 24215: 258.778: 24215: 256.972: 15117: 246.316: 15117: 174.007: 435: 285.087
GT1-12-2_S275_L001_Q_33 : 5765: 260.89: 5765: 260.993: 3529: 260.035: 3529: 169.851: 58: 261.621
GT0-2-1_S31_L001_Q_33 : 61572: 240.745: 61572: 241.18: 36894: 241.864: 36894: 173.474: 3294: 255.254
GT1-12-3_S283_L001_Q_33 : 21783: 252.656: 21783: 253.692: 12614: 271.283: 12614: 170.688: 1349: 288.559
GT0-22-1_S224_L001_Q_33 : 38159: 236.204: 38159: 237.976: 21900: 242.757: 21900: 171.638: 3125: 282.429
GT1-1-2_S201_L001_Q_33 : 56548: 237.957: 56548: 238.957: 33180: 241.707: 33180: 174.184: 3248: 230.061
GT0-22-2_S232_L001_Q_33 : 29503: 242.036: 29503: 243.228: 17063: 237.308: 17063: 169.701: 1092: 277.829
WT1-18_S140_L001_Q_33 : 44429: 191.501: 44429: 191.783: 19589: 251.031: 19589: 198.757: 5442: 433.47
GT1-13-1_S196_L001_Q_33 : 11578: 255.095: 11578: 256.777: 6805: 270.027: 6805: 169.527: 97: 158.763
GT0-22-3_S240_L001_Q_33 : 49832: 247.917: 49832: 249.316: 30049: 240.969: 30049: 170.896: 4670: 278.099
WT1-19_S148_L001_Q_33 : 20834: 289.933: 20834: 290.155: 15692: 264.511: 15692: 198.673: 2423: 447.88
MT3-6-3_S240_L001_Q_33 : 30356: 283.745: 30356: 283.524: 22475: 269.279: 22475: 195.669: 2296: 444.337
GT1-13-2_S204_L001_Q_33 : 26654: 209.971: 26654: 212.86: 13590: 259.4: 13590: 174.543: 656: 224.721
GT0-2-2_S39_L001_Q_33 : 30827: 236.296: 30827: 237.489: 17413: 242.481: 17413: 170.156: 1371: 255.379
WT1-1_S99_L001_Q_33 : 17050: 285.346: 17050: 285.498: 12361: 255.112: 12361: 198.683: 2276: 443.983
MT3-7-1_S248_L001_Q_33 : 22560: 266.395: 22560: 266.552: 15600: 269.333: 15600: 196.571: 1726: 441.413
GT1-13-3_S212_L001_Q_33 : 21921: 279.078: 21921: 280.088: 14032: 269.786: 14032: 169.382: 11: 317.636
GT0-23-1_S248_L001_Q_33 : 64290: 226.073: 64290: 227.594: 34644: 239.7: 34644: 169.965: 3825: 274.184
WT1-20_S156_L001_Q_33 : 26053: 297.686: 26053: 298.115: 20213: 252.335: 20213: 195.902: 4500: 437.774
MT3-7-2_S256_L001_Q_33 : 27696: 250.012: 27696: 249.75: 17604: 270.125: 17604: 196.269: 1930: 433.846
GT1-1-3_S209_L001_Q_33 : 18728: 227.407: 18728: 234.404: 9903: 234.54: 9903: 164.678: 3219: 179.129
GT0-23-2_S256_L001_Q_33 : 55826: 239.12: 55826: 239.938: 32131: 242.625: 32131: 170.405: 2567: 245.037
WT1-21_S124_L001_Q_33 : 60009: 247.041: 60009: 247.52: 29652: 242.775: 29652: 185.332: 1281: 442.329
MT3-7-3_S264_L001_Q_33 : 22009: 258.092: 22009: 258.297: 14582: 270.145: 14582: 195.963: 1597: 430.139
GT1-14-1_S220_L001_Q_33 : 22202: 250.833: 22202: 252.295: 12516: 270.27: 12516: 169.518: 132: 297.273
GT0-23-3_S264_L001_Q_33 : 35517: 249.472: 35517: 250.289: 21575: 243.316: 21575: 170.118: 1739: 244.436
WT1-22_S172_L001_Q_33 : 22581: 296.379: 22581: 296.835: 17158: 254.368: 17158: 196.025: 4254: 435.378
MT3-8-1_S272_L001_Q_33 : 33306: 271.033: 33306: 271.201: 23569: 269.957: 23569: 196.695: 2673: 440.361
GT1-14-2_S228_L001_Q_33 : 11088: 272.037: 11088: 261.643: 6442: 270.462: 6442: 170.354: 110: 255.336
GT0-2-3_S47_L001_Q_33 : 31891: 213.958: 31891: 215.309: 15667: 252.585: 15667: 174.052: 2702: 284.661
WT1-23_S180_L001_Q_33 : 20520: 289.236: 20520: 289.896: 15236: 251.861: 15236: 194.861: 3166: 435.312
