Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_30 : 24215: 258.778: 24215: 256.972: 17223: 259.628: 17223: 187.685: 13791: 417.243
GT1-12-2_S275_L001_Q_30 : 5765: 260.89: 5765: 260.993: 4113: 271.129: 4113: 184.202: 2865: 426.031
GT0-2-1_S31_L001_Q_30 : 61572: 240.745: 61572: 241.18: 41714: 254.835: 41714: 186.989: 35884: 400.845
GT1-12-3_S283_L001_Q_30 : 21783: 252.656: 21783: 253.692: 14958: 279.451: 14958: 184.297: 10466: 412.783
GT0-22-1_S224_L001_Q_30 : 38159: 236.204: 38159: 237.976: 24808: 256.586: 24808: 185.607: 21218: 392.436
GT1-1-2_S201_L001_Q_30 : 56548: 237.957: 56548: 238.957: 37633: 253.872: 37633: 187.096: 32054: 396.404
GT0-22-2_S232_L001_Q_30 : 29503: 242.036: 29503: 243.228: 19469: 251.056: 19469: 183.402: 15928: 399.996
WT1-18_S140_L001_Q_30 : 44429: 191.501: 44429: 191.783: 21965: 262.327: 21965: 212.662: 17629: 425.794
GT1-13-1_S196_L001_Q_30 : 11578: 255.095: 11578: 256.777: 8134: 279.629: 8134: 183.713: 5411: 432.464
GT0-22-3_S240_L001_Q_30 : 49832: 247.917: 49832: 249.316: 34319: 254.001: 34319: 184.445: 28930: 387.331
WT1-19_S148_L001_Q_30 : 20834: 289.933: 20834: 290.155: 17722: 274.087: 17722: 213.36: 14592: 440.951
MT3-6-3_S240_L001_Q_30 : 30356: 283.745: 30356: 283.524: 25273: 277.47: 25273: 208.45: 22386: 436.981
GT1-13-2_S204_L001_Q_30 : 26654: 209.971: 26654: 212.86: 15208: 270.362: 15208: 187.192: 12335: 414.297
GT0-2-2_S39_L001_Q_30 : 30827: 236.296: 30827: 237.489: 19945: 255.121: 19945: 183.501: 16857: 400.339
WT1-1_S99_L001_Q_30 : 17050: 285.346: 17050: 285.498: 14027: 264.809: 14027: 213.789: 12505: 431.058
MT3-7-1_S248_L001_Q_30 : 22560: 266.395: 22560: 266.552: 17448: 277.232: 17448: 208.896: 15579: 436.456
GT1-13-3_S212_L001_Q_30 : 21921: 279.078: 21921: 280.088: 17140: 279.16: 17140: 182.989: 11171: 436.049
GT0-23-1_S248_L001_Q_30 : 64290: 226.073: 64290: 227.594: 39564: 253.103: 39564: 183.737: 32797: 393.424
WT1-20_S156_L001_Q_30 : 26053: 297.686: 26053: 298.115: 22832: 263.156: 22832: 210.654: 19698: 426.589
MT3-7-2_S256_L001_Q_30 : 27696: 250.012: 27696: 249.75: 19689: 277.655: 19689: 208.657: 17540: 436.111
GT1-1-3_S209_L001_Q_30 : 18728: 227.407: 18728: 234.404: 11886: 239.863: 11886: 174.487: 9513: 322.042
GT0-23-2_S256_L001_Q_30 : 55826: 239.12: 55826: 239.938: 36746: 255.403: 36746: 183.762: 31505: 400.65
WT1-21_S124_L001_Q_30 : 60009: 247.041: 60009: 247.52: 37799: 255.663: 37799: 199.805: 28776: 424.368
MT3-7-3_S264_L001_Q_30 : 22009: 258.092: 22009: 258.297: 16316: 277.946: 16316: 208.26: 14493: 435.833
GT1-14-1_S220_L001_Q_30 : 22202: 250.833: 22202: 252.295: 15198: 279.77: 15198: 183.659: 9901: 434.938
GT0-23-3_S264_L001_Q_30 : 35517: 249.472: 35517: 250.289: 24561: 256.043: 24561: 183.759: 21134: 401.162
WT1-22_S172_L001_Q_30 : 22581: 296.379: 22581: 296.835: 19552: 263.833: 19552: 209.715: 15998: 427.04
MT3-8-1_S272_L001_Q_30 : 33306: 271.033: 33306: 271.201: 26343: 277.667: 26343: 209.166: 23479: 436.719
GT1-14-2_S228_L001_Q_30 : 11088: 272.037: 11088: 261.643: 7846: 279.217: 7846: 184.324: 5251: 432.853
GT0-2-3_S47_L001_Q_30 : 31891: 213.958: 31891: 215.309: 18150: 263.977: 18150: 187.439: 14148: 392.116
WT1-23_S180_L001_Q_30 : 20520: 289.236: 20520: 289.896: 17299: 262.463: 17299: 209.428: 14790: 425.299
MT3-8-3_S288_L001_Q_30 : 28060: 261.364: 28060: 261.787: 21106: 278.844: 21106: 206.169: 18641: 436.407
GT0-24-1_S272_L001_Q_30 : 45670: 248.956: 45670: 249.588: 31739: 257.144: 31739: 184.835: 27211: 405.343
WT1-24_S188_L001_Q_30 : 21552: 286.262: 21552: 286.741: 17899: 262.596: 17899: 208.563: 15405: 424.578
MT3-9-2_S303_L001_Q_30 : 55061: 118.132: 55061: 117.864: 13408: 272.65: 13408: 206.162: 12017: 422.602
