Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT0-10-3_S143_L001_Q_23 : 35429: 250.307: 35429: 253.285: 28069: 272.137: 28069: 215.562: 15887: 345.827
GT0-11-1_S151_L001_Q_23 : 37566: 248.039: 37566: 249.292: 29147: 272.581: 29147: 213.382: 12281: 396.445
GT0-11-2_S159_L001_Q_23 : 28291: 221.811: 28291: 222.7: 19016: 274.108: 19016: 213.054: 7410: 409.631
GT0-11-3_S167_L001_Q_23 : 48214: 235.643: 48214: 236.485: 34933: 270.243: 34933: 210.23: 13320: 403.453
GT0-1-1_S7_L001_Q_23 : 31312: 227.83: 31312: 228.72: 22048: 274.536: 22048: 213.5: 9294: 398.445
GT0-12-1_S175_L001_Q_23 : 9601: 233.163: 9601: 236.322: 6933: 271.859: 6933: 215.127: 3576: 349.504
GT0-12-2_S183_L001_Q_23 : 40438: 248.355: 40438: 249.525: 31314: 273.505: 31314: 212.138: 11768: 413.304
MT3-19-1_S55_L001_Q_23 : 30348: 246.109: 30348: 246.294: 23398: 288.898: 23398: 234.097: 15281: 447.527
MT3-19-2_S63_L001_Q_23 : 31523: 204.848: 31523: 205.909: 19215: 287.679: 19215: 232.77: 12476: 442.085
MT1-5-3_S210_L001_Q_23 : 69988: 196.403: 69988: 151.209: 28149: 249.199: 28149: 212.58: 21498: 327.304
MT3-19-3_S71_L001_Q_23 : 27720: 244.88: 27720: 244.993: 21200: 289.375: 21200: 234.168: 13922: 448.829
MT1-6-1_S218_L001_Q_23 : 33335: 275.529: 33335: 276.239: 29585: 282.035: 29585: 241.85: 21210: 443.451
MT1-15-2_S252_L001_Q_23 : 46578: 277.996: 46578: 279.167: 41431: 281.902: 41431: 242.877: 30012: 444.662
MT3-20-1_S79_L001_Q_23 : 30211: 240.359: 30211: 240.748: 22599: 288.89: 22599: 231.021: 14052: 444.13
MT1-6-2_S226_L001_Q_23 : 48836: 221.458: 48836: 171.752: 22554: 279.958: 22554: 234.283: 15884: 418.33
MT1-15-3_S260_L001_Q_23 : 35475: 284.588: 35475: 285.652: 32610: 282.539: 32610: 243.018: 23787: 444.894
MT3-20-2_S87_L001_Q_23 : 30615: 242.193: 30615: 242.823: 23208: 286.695: 23208: 232.694: 15176: 440.346
MT1-6-3_S234_L001_Q_23 : 48987: 172.714: 48987: 137.169: 16978: 273.115: 16978: 228.761: 12078: 398.917
MT1-16-1_S268_L001_Q_23 : 45981: 218.638: 45981: 169.387: 20960: 285.863: 20960: 237.523: 14323: 444.127
